SPANISH,ENGLISH
colegas,colleagues
supieras,You knew
secretaria,Secretary
queridos,Dear
morirás,You will die
cuero,leather
confesión,confession
círculo,circle
sabéis,You know
química,chemistry
obras,plays
llores,cry
juegas,you play
invisible,invisible
fase,phase
esconde,hide
capitan,captain
adulto,adult
vacía,empty
siéntense,Sit
pastor,Shepherd
llegada,arrival
gatillo,trigger
debamos,we must
teléfonos,phones
saqué,I took out
regresará,return
olvidaré,I will forget
límites,boundaries
jovencita,young girl
dibujo,drawing
británico,British
balboa,balboa
psiquiatra,psychiatrist
objetos,objects
negociar,negotiate
formar,to form
fiel,faithful
diosa,goddess
descubrió,discovered
ala,to the
abril,April
saldré,I will go out
mías,mine
disfruta,enjoy
atender,attend
tomaremos,We will take
oreja,ear
necesitaremos,we will need
motores,engines
intenciones,intentions
cumplido,compliment
brindis,toast
villa,town
trono,throne
traen,They bring
sentados,sitting
samurai,samurai
salía,It came out
raras,Rare
producción,production
medias,socks
lavar,wash
jazz,jazz
extraordinario,extraordinary
causado,caused
serpientes,Snakes
revisa,check out
quedate,stay
nervios,nerves
estable,stable
cerdos,pigs
riesgos,Risks
pasaste,You passed
madres,Mothers
instinto,instinct
episodio,episode
empezaron,They started
aniversario,anniversary
viera,Viera
viajes,trips
trabajé,I worked
rango,range
preocupación,worry
métete,Get
imaginé,I imagined
hayamos,we have
fenómeno,freak
dolores,Dolores
demanda,demand
creó,believe
asegurar,ensure
pesadillas,nightmares
niega,denies
molestia,inconvenience
extremo,extreme
debilidad,weakness
compasión,compassion
camiones,trucks
aproximadamente,approximately
afecta,it affects
administración,administration
reconocimiento,recognition
recientemente,recently
practicar,practice
pierdas,you lose
pandilla,gang
miss,Miss
mates,math
disparando,shooting up
británicos,British
ayudarlos,Help them
sueldo,salary
siguió,He continued
significado,meaning
miente,lies
medidas,measures
guitarra,guitar
custodia,custody
boletos,tickets
ayudado,helped
sentarte,sit
risa,laughter
quemar,burn
prometió,promised
observando,observing
lectura,reading
jódete,Get in
considerado,considered
cometer,commit
cambié,I changed
asientos,seating
satisfecho,satisfied
saludable,healthy
lanzar,launch
hoja,sheet
conozca,Know
concepto,concept
colgar,hang
apunta,points
renta,rent
prefieres,You prefer
pediré,I will ask
mediodía,noon
influencia,influence
hacernos,make us
figura,figure
ensayo,rehearsal
coordenadas,coordinates
casó,case
político,political
países,countries
once,eleven
matarlos,kill them
graduación,graduation
frase,phrase
eterna,Eternal
estarlo,be
descuida,don't worry
toalla,towel
próximos,next
monedas,coins
mirad,Behold
miraba,I looked
griegos,Greeks
famosa,famous
corredor,runner
atravesar,cross
aguas,Waters
modales,manners
guerras,Wars
eternidad,eternity
conocerla,know her
busquen,Search
acuerda,Agree
sentirme,feel
quema,Burning
poema,poem
ordenó,ordered
espiritual,spiritual
costumbre,habit
comencé,I started
cabra,goat
alquiler,rent
vencido,defeated
vela,candle
trataré,I will treat
sospechosos,suspicious
quinto,fifth
pilotos,pilots
perdieron,They lost
generación,generation
formación,training
estructura,structure
concéntrate,Concentrate
complejo,complex
voces,voices
tragos,drinks
temor,fear
república,republic
recursos,resources
presentación,presentation
pirámide,pyramid
oficialmente,officially
maquillaje,make-up
guardaespaldas,bodyguard
escucharme,listen to me
dejara,will leave
contiene,contains
bendición,blessing
vuestros,your
semejante,similar
pague,Pay
molestes,bounted
cultura,culture
comió,ate
antecedentes,background
tendríamos,We would have
representante,representative
prestado,borrowed
posesión,possession
oir,hear
nubes,clouds
meterte,get into
guantes,gloves
esperabas,You expected
enseña,Teach
encontrarme,Find me
consejos,tips
regreses,you return
preocupen,worry
pistolas,pistols
gane,I win
sos,SOS
niveles,levels
ganaste,Won
considerando,considering
capital,capital
cambie,change
ánimo,cheer up
utilizar,use
lograrlo,achieve it
llévate,Take yourself
gafas,glasses
espíritus,Spirits
preguntaste,Asked
pagará,pay to
maíz,corn
estacionamiento,parking lot
contactos,Contacts
aguja,needle
trenes,trains
soporto,stood
sacaré,I will take out
oido,ear
fortaleza,strength
corea,Korea
conversar,discuss
computadoras,computers
cálmese,calm down
volante,steering wheel
sucederá,It will happen
decías,You said
data,data
cuente,Count
civilización,civilization
cabrones,bastards
arruinar,spoil
vampiro,vampire
tocó,touched
regresé,I am back
pases,passes
fantástica,Fantastic
facil,easy
estabamos,We were
diera,give
detenga,stop
violación,rape
hemorragia,hemorrhage
fianza,bail
docena,dozen
centavo,penny
célula,cell
carreras,careers
callado,reserved
rodilla,knee
prometes,You promise
profundamente,deeply
posiciones,positions
hicieras,You did
furioso,furious
desperté,I woke up
comes,you eat
ciega,blind
cicatriz,scar
bebidas,drinks
acércate,approach
tiró,shot
policial,Police
pasear,sightseeing
masa,mass
llegues,You arrive
global,global
escapado,I escaped
dinos,tell us
cuarta,quarter
bienes,estate
aparato,apparatus
sostén,support
realizar,carry out
permitiré,I will allow
orgullosos,proud
corten,Cut
comisión,commission
vidrio,glass
presa,prey
ocupados,occupied
morfina,morphine
habrían,They would have
columna,column
sacaron,They took out
patas,paws
oírme,Hear me
ocultar,disguise
objeción,objection
maneja,handle
largas,long
generalmente,generally
fuentes,sources
cubrir,cover
ataca,attack
tenis,tennis
santos,Saints
potencial,potential
plano,flat
levante,I raised
escala,scale
enfrentar,deal
cuánta,How much
sobra,surplus
rumor,rumor
páginas,pages
órganos,organs
león,lion
entras,You enter
decían,they were saying
chinos,Chinese
brujas,Bruges
barbara,Barbara
admiro,I admire
voto,vote
volvieron,They returned
suelte,release
reto,challenge
metes,put
infarto,heart attack
cuyo,whose
construyó,built
boleto,ticket
besar,kiss
portal,portal
ponemos,We put
monte,mountain
discusión,discussion
digno,worthy
desean,They want
darse,give
considerar,consider
bancos,banks
poción,potion
perdóneme,excuse me
pensabas,You thought
generoso,generous
estatua,statue
convencer,convince
conocida,known
comenzamos,We start
aceptado,accepted
rob,Rob
importar,matter
fracaso,failure
ciertos,some
bomberos,firefighters
sorprendido,surprised
protegido,protected
presenta,presents
metí,I put
entenderlo,Understand it
detengan,stop
conflicto,conflict
códigos,Codes
seco,dry
sabiendo,knowing
hacerla,do
graves,Serious
dejarás,You will leave
convencido,convinced
comprende,understands
bromas,jokes
oyen,They hear
moleste,Mother
mencionar,mention
gastos,bills
estaríamos,we would be
esperaremos,we will wait
encontrarán,They will find
billetes,Tickets
arco,bow
altos,High
actores,actors
talvez,maybe
sitios,sites
saluda,greets
quejas,Complaints
planeando,planning
moriremos,we will die
marica,sissy
habrías,You would have
estarían,They would be
dejarán,They will leave
amantes,lovers
acostumbrado,used to
torneo,tournament
planos,blueprints
ordeno,I order
miré,Look
maldicion,curse
kg,kg
dirías,You would say
confirmado,confirmed
vacas,cows
quirófano,operating room
ponerlo,put it
origen,origin
fusión,fusion
deberá,must
verdaderos,True
serían,would
seguía,It continued
sabrán,will know
pasaje,passage
necesidades,needs
lavado,washed
galaxia,galaxy
fresca,fresh
doloroso,painful
comenzado,started
uñas,nails
trajes,suits
perfil,profile
necesitará,will need
manejando,handling
lola,Lola
lentes,glasses
engañar,cheat
cállense,Shut up
bate,bat
automático,automatic
tuyas,yours
quedarás,You will stay
profunda,deep
piensen,Think
permiten,allow
heredero,heir
entraron,They entered
canadá,Canada
caminos,roads
sintió,felt
robé,I steal
porno,for not
lejano,far
intercambio,exchange
hojas,leaves
dispare,Try
cuan,how
champaña,champagne
atractiva,attractive
terminal,terminal
rita,Rita
poesía,poetry
pierda,lose
expertos,experts
ensalada,salad
convertir,convert
calientes,hot
autopsia,autopsy
tristeza,sadness
tiendas,stores
mafia,mafia
jodas,fucks
escuchó,I'm listening
enormes,huge
denme,Give me
atacaron,They attacked
almacén,store
sufrió,suffered
productos,products
productor,producer
permitido,permitted
pegó,hit
matarla,kill her
interno,internal
interna,internal
infantil,childish
españa,Spain
diarios,Diaries
acompañe,Accompany
ropas,clothes
pondremos,we will put
metiste,You got
esencia,essence
brillantes,Bright
bingo,bingo
sordo,deaf
sacas,You take out
rancho,Ranch
objetivos,goals
muebles,furniture
mencionó,mentioned
estupido,idiot
enterado,aware
documento,document
vencer,beat
sintiendo,feeling
quieta,still
período,period
oportunidades,opportunities
monos,monkeys
mercancía,commodity
lastimado,hurt
internos,internal
hueco,gap
golpea,hit
evento,event
estudiando,studying
elige,choose
crecido,grown up
conspiración,conspiracy
avenida,avenue
tremendo,tremendous
tocas,You touch
sabias,You knew
raya,stripe
líos,messes
invitar,invite
homicidios,Homicides
herramientas,tools
flecha,arrow
derrota,defeat
cervezas,beers
terminará,will finish
llenar,fill
líderes,leaders
ganan,They win
fingir,pretend
estrategia,strategy
dirán,They will say
confías,You trust
cómoda,comfortable
comience,Start
cenizas,ashes
capaces,able
temía,I feared
sonríe,smile
quite,remove
necesites,You need
mostrarle,Show him
mordió,bite
jefa,boss
fallo,failed
empiezan,They begin
dispositivo,device
detesto,I hate
aprendiste,You learned
aman,love
agradecido,grateful
agáchate,get down
terminaste,You finished
sida,AIDS
mueras,You die
mentí,I lied
lujo,luxury
láser,laser
importe,amount
físico,physical
caes,caes
tiros,shooting
miran,they watch
hadas,Fairies
ganancias,Profits
fritas,fries
fantasía,fancy
deténgase,Stop
déjenlo,Leave it
curar,cure
comidas,foods
quisiste,You wanted
pacífico,peaceful
oler,smell
ofreció,offered
importaba,imported
certeza,certainty
actividades,activities
vestidos,dresses
suele,usually
submarino,submarine
podrias,could you
pesa,weight
judas,Judas
idioma,language
identificar,identify
hubiéramos,we would have
cañones,cannons
beneficios,benefits
sospecha,suspicion
observación,observation
muchachas,Girls
manejo,driving
jodiendo,Fucking
explicarlo,Explain it
divino,divine
divertida,fun
despegue,takeoff
contrató,contract
volumen,volume
trabajó,job
términos,terms
morirán,They will die
hombros,shoulders
hada,fairy
alegre,cheerful
terribles,terrible
temes,you fear
sabiduría,wisdom
prioridad,priority
pluma,feather
misil,missile
mansión,Mansion
detenerme,stop
despertó,woke up
decírmelo,tell me
cambiará,switch to
arranca,Starts
alejado,remote
soltero,single
pierden,They lose
mascota,pet
empuja,Push
dentista,dentist
cogido,caught
batería,battery
visual,visual
reconoce,recognize
pedimos,We ask
niebla,fog
métodos,Methods
durmió,he slept
desfile,parade
creciendo,growing
continua,keep going
borracha,drunk
beca,scholarship
adolescente,Teen
actos,Acts
mágica,Magic
imbéciles,Imbéciles
huyendo,running away
fotógrafo,photographer
experimentos,experiments
edificios,buildings
deténganse,stop
cálmense,Calm down
atmósfera,atmosphere
acabaron,They ended
votos,votes
tareas,tasks
presupuesto,budget
persecución,persecution
enseñarle,teach him
enfermos,sick
cortes,cuts
contaste,You told
recuerdan,Remember
probabilidades,Probabilities
núcleo,core
multitud,crew
moriré,I will die
empresas,companies
delta,delta
asociación,association
verdes,green
profesión,profession
pelotón,platoon
paro,unemployment
largos,long
danos,damage
creído,Believed
cosecha,harvest
cintas,Tapes
agallas,guts
vendido,sold
tortura,torture
suéltala,Sleel it
sexuales,sexual
retirado,retired
reconoces,You recognize
pudieran,They could
desorden,disorder
desarrollo,development
abandonó,abandonment
vodka,vodka
violento,violent
vestida,Dressed
probarlo,Try it
balón,ball
población,population
pechos,Breasts
ocurrirá,It will happen
mientes,you lie
leal,loyal
jo,Jo
federación,federation
dí,gave
asustaste,You scared
apártate,back off
vinieras,You came
valioso,valuable
profesora,teacher
misericordia,mercy
mancha,stain
ilusión,delusion
habrás,You will have
golpeado,struck
generador,generator
empiezas,You start
detuvo,stopped
despedir,dismiss
cuerdas,strings
cráneo,skull
champán,champagne
cartel,sign
campana,Campaign
vendió,sold
rompí,I broke up
revistas,journals
ordena,Order
cállese,Shut up
avanzar,advance
técnicamente,technically
remoto,remote
pudiéramos,We could
pega,job
parto,Birth
nido,nest
molestando,bothering
gota,drop
fracasado,failed
esperé,wait
escúcheme,listen to me
eco,echo
duros,Hard
dispararle,shoot him
desaparecieron,They disappeared
contarle,tell him
cargando,charging
caen,They fall
asesinó,killer
prométeme,promise me
políticos,politicians
plantas,floors
oculta,hidden
mundos,worlds
fines,purposes
dueños,owners
detén,stop
cm,cm
asesinar,murder
agosto,August
rojas,Red
pantano,swamp
opina,He thinks
odian,They hate
llegaré,I will arrive
impresionado,impressed
dirigir,lead
diciembre,December
decidimos,we decided to
conectado,connected
toco,I play
sinceramente,sincerely
relacionado,related
quedaron,They were
levanten,Lift
espantoso,frightening
enseño,taught
enfermedades,diseases
divirtiendo,fun
cubre,it covers
confidencial,confidential
compre,I bought
baúl,trunk
baila,Dance
aumento,increase
ascenso,ascent
testimonio,testimony
saliera,came out
resiste,resists
párate,stand up
ofrecer,offer
ocupo,occupy
merecía,deserved
jabón,soap
hamburguesa,hamburger
escuelas,Schools
equivoco,mistaken
caiga,fall
beneficio,benefit
suéltalo,Let it go
rusa,Russian
receta,recipe
modelos,Models
misterioso,mysterious
esconder,hide
eche,Eche
contarte,tell you
callejón,alley
buscarla,look for her
bonitas,Nice
toquen,touch
rudo,rude
extrañé,I missed
detras,behind
detenerlos,stop them
delito,crime
atacado,attacked
traerlo,bring it
sentencia,judgment
sácame,kick me out
posibles,possible
participar,participate
pagas,you pay
mintió,He lied
jefes,bosses
excepción,exception
espadas,swords
engañado,cheated
débiles,weak
corporación,corporation
